name	rooms_1	rooms_2	rooms_3	rooms_4	job_sales	units_5_9	class_govt	race_asian	race_mixed	age_85_over	income_mean	job_service	rent_median	in_arts_food	race_pacific	value_median	grapi_35_more	income_median	units_20_more	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1960_1969	built_1970_1979	in_public_admin	occupied_renter	income_200000_more	value_1000000_more	ancestry_portuguese	value_500000_999999	edu_associate_degree	income_100000_149999	income_150000_199999	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_rooms_4	rank_job_sales	rank_units_5_9	rank_class_govt	rank_race_asian	rank_race_mixed	rank_age_85_over	rank_income_mean	rank_job_service	rank_rent_median	rank_in_arts_food	rank_race_pacific	rank_value_median	rank_grapi_35_more	rank_income_median	rank_units_20_more	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1960_1969	rank_built_1970_1979	rank_in_public_admin	rank_occupied_renter	rank_income_200000_more	rank_value_1000000_more	rank_ancestry_portuguese	rank_value_500000_999999	rank_edu_associate_degree	rank_income_100000_149999	rank_income_150000_199999
New Jersey	2.5	2.4	10.1	15.2	21.7	4.7	13.7	9.7	4.8	2.3	117868	15.7	1368	7.8	0.0	343500	41.7	85245	11.2	23.4	9.2	3.9	3.5	13.3	12.5	4.4	36.0	14.8	3.7	0.9	20.9	6.6	17.8	10.4	17	28	9	30	15	14	33	3	15	11	2	50	5	50	32	7	8	3	9	4	9	6	6	4	46	30	12	2	9	6	8	49	11	4
New Mexico	2.8	2.7	7.6	17.3	21.8	2.9	22.5	1.6	8.1	2.0	70241	19.7	857	10.8	0.1	175700	39.7	51243	4.3	6.7	1.4	0.3	0.3	9.9	17.5	7.6	32.0	4.1	1.3	0.2	5.1	8.8	12.8	4.7	12	23	28	8	12	48	3	38	5	26	48	4	36	5	13	35	19	47	41	33	36	39	46	29	12	7	34	48	27	17	34	24	48	47
New York	4.1	4.1	14.9	18.4	21.0	5.1	15.8	8.6	4.7	2.4	105304	19.6	1315	9.0	0.0	325000	42.4	71117	24.2	19.3	9.8	4.7	6.9	12.5	9.9	4.8	45.9	11.5	8.2	0.3	22.5	8.9	16.0	8.4	4	6	2	6	28	8	14	5	20	9	9	5	9	22	32	10	6	15	2	11	8	5	4	6	51	21	2	8	4	14	7	21	23	13
North Carolina	1.6	1.8	7.2	16.6	20.9	4.2	13.9	3.0	3.6	1.8	79620	16.8	932	9.3	0.1	182100	37.9	56642	4.8	8.6	1.9	0.5	0.6	8.6	13.4	4.1	34.3	6.0	1.3	0.2	6.5	9.9	13.7	5.4	39	42	33	15	30	28	29	24	34	34	34	28	27	19	13	33	27	40	37	27	29	30	33	40	44	39	16	25	27	17	29	15	40	36
North Dakota	2.9	3.3	9.6	16.9	20.0	3.9	16.1	1.6	3.1	2.3	85506	17.1	828	7.9	0.1	199900	31.6	65315	15.0	6.3	1.1	0.4	0.6	8.7	17.7	4.7	37.5	6.0	0.9	0.1	5.0	14.1	17.0	6.3	11	16	14	13	45	36	13	38	41	11	23	23	42	47	13	27	51	20	4	35	42	33	33	38	11	23	8	25	35	29	35	1	16	22
Ohio	1.4	1.8	6.9	13.3	21.1	4.6	12.2	2.3	3.6	2.2	78797	16.9	825	8.9	0.0	151400	35.6	58116	5.9	4.5	1.2	0.3	0.5	12.0	14.2	3.9	33.7	5.2	0.6	0.1	3.2	8.8	14.4	5.6	47	42	40	49	27	16	45	32	34	16	35	25	43	29	32	44	40	37	29	42	39	39	40	8	37	44	24	31	46	29	45	24	37	32
Oklahoma	1.8	2.1	7.2	15.3	21.9	3.7	17.0	2.2	8.7	1.8	74195	17.3	818	9.6	0.2	142400	35.7	53840	4.0	4.5	0.9	0.3	0.4	11.3	18.5	6.2	33.9	4.5	0.8	0.1	3.1	8.2	13.3	4.8	29	36	33	29	10	40	11	34	4	34	44	19	44	15	9	48	38	44	43	42	45	39	43	15	6	9	18	43	39	29	46	34	43	46
Oregon	3.0	4.1	8.8	17.0	20.7	4.4	13.8	4.5	6.2	2.1	88137	17.6	1173	9.6	0.4	336700	41.2	65667	8.8	18.1	5.8	1.6	1.2	9.1	18.6	4.6	37.2	7.2	2.6	0.5	18.8	9.0	16.2	7.0	9	6	20	11	37	23	31	15	11	23	20	15	14	15	6	8	9	19	17	13	14	15	14	33	5	25	10	19	14	10	9	20	22	19
Pennsylvania	2.0	2.1	7.2	12.1	20.8	3.2	10.7	3.5	3.4	2.6	87262	17.0	958	8.1	0.0	187500	38.1	63627	6.4	10.1	3.1	1.1	1.0	10.1	12.5	4.0	31.0	7.1	1.1	0.2	6.3	8.6	15.7	6.7	25	36	33	51	35	46	51	19	37	3	21	24	26	45	32	31	26	23	27	26	24	18	18	23	46	41	38	20	32	17	30	30	26	21
Puerto Rico	1.9	3.2	9.0	26.2	25.9	4.4	21.0	0.2	9.7	2.5	33315	20.6	486	9.8	0.0	111200	44.4	21058	5.8	1.2	0.5	0.2	0.2	17.4	22.8	8.7	32.2	1.0	0.5	null	1.0	null	2.9	0.9	28	17	17	1	1	23	5	52	2	6	52	3	52	12	32	52	5	52	30	52	52	49	50	1	3	6	33	52	51		52		52	52
Rhode Island	2.4	2.9	10.4	17.1	21.7	4.8	12.9	3.5	4.9	2.5	92427	18.4	1031	10.0	0.1	276600	37.9	70305	8.4	12.6	3.3	1.0	1.0	11.7	12.3	4.0	38.4	7.7	2.0	8.0	10.4	8.2	18.3	7.8	18	19	6	10	15	12	40	19	14	6	17	11	23	10	13	15	27	16	18	24	22	21	18	10	48	41	6	17	18	1	15	34	6	15
